Index,Max_Compressive_Force,Max_Tensile_Force,Max_Compressive_Deformation,Max_Tensile_Deformation,Buckling_Factor,Max_Utilization,Max_Total_Deformation,High_Deformation_Areas
1400,-74.74554541052264,58.14631218821553,-0.0726877295813555,0.03522669741300444,49.72871704266604,0.7044222677940954,0.04147861651307043,"(63.049881735382066, 80.6514531727453, 1.505665796132363); (11.77043239249086, 66.80168366566114, 1.2464661450072583)"
4238,-30.005980836194134,26.2045435818152,0.0,0.08217146123938868,130.35485105378984,0.15833156683000857,0.008717049174888072,
2,-0.6998287756312801,0.33638523293680406,0.0,0.004273842798063754,16621.640666880405,0.0002454811653864837,0.0006863998861786155,
3,-0.7002556498941167,0.33638083288890686,-0.006544397567398441,0.0038560936057141504,21994.06070342572,0.000245604606041006,0.0006878212111379497,
4,-1.3783111737801446,2.3918300550013782,-0.009548667444292391,0.005945429270504121,1072.8813788746174,0.01496557516545542,0.0010288464544525285,
5,-7.84646220615774,3.670205324838457,0.0,1.800429609840637,2.609192069494277,0.02349086154342722,0.1212040138101253,"(2.536885933159608, 94.03397279600294, 0.26880684273221284)"
6,-9.45931300037354,10.846854282495825,-0.04790651070289975,0.032649436716969404,74.00564105698196,0.05313640993543977,0.003908720899222773,
7,-15.373216169613631,14.710552478844306,-0.06253880431814629,0.049082069415984364,49.41042755773081,0.07206378222782102,0.005442760085399516,
8,-18.02358709332856,17.744183420556578,-0.030633546300418146,0.0739011716054172,37.148109345520645,0.0869248452077765,0.006885702523167644,
9,-26.241269989311224,23.436328429771244,-0.23542590084963955,0.0,24.385873468865107,0.42838882671375245,0.01877550753253655,"(2.6842555941298927, 89.17531767082991, 0.8911511318499709)"
10,-14.692929482703796,13.829730565132259,-0.025382561142794913,0.07229589983630547,73.68858200192949,0.06774883746845246,0.004690524008635938,
11,-32.24749473300127,27.779393116693026,-0.47078699409217606,0.0,18.66056282168247,0.39133591113732946,0.021556628298908496,"(6.75930667712826, 93.5819068740946, 1.0404265215405648); (2.6842555941298927, 89.17531767082991, 0.8911511318499709)"
12,-8.303523860929744,10.629632753408858,-0.026055880768693918,0.02485438880799329,128.21343501416868,0.052072291429797954,0.003731362454503653,
13,-33.867600831659445,26.438829611978093,0.0,0.28217802052479257,19.763479760609563,0.4781322409900978,0.023186522006712527,"(6.75930667712826, 93.5819068740946, 1.0404265215405648); (2.6842555941298927, 89.17531767082991, 0.8911511318499709)"
14,-27.634904133458267,25.62196774295917,-0.08807229382359338,0.1252288923955014,24.032638232601172,0.34533802533800273,0.01772337312801307,"(2.6842555941298927, 89.17531767082991, 0.8911511318499709)"
15,-21.850580452567737,21.97338230128377,-0.0533152940012549,0.07676045757105676,38.3298905570449,0.10764272161688562,0.011538043167810179,
16,-24.783661637635362,30.093059237426942,0.0,0.918182248358157,23.42945878382148,0.1474191587126939,0.023366334188786444,"(3.9519984487630087, 90.71282270325891, 0.1795032747054042)"
17,-21.37186271514765,14.20497232074376,-0.06283071996104894,0.13614531980352673,54.92009744640919,0.11138392186412746,0.00798127675372922,
18,-10.225922482633624,6.156621873733274,-0.022768676679740807,0.0,188.52793290638445,0.036704316425342436,0.003489408231679372,
19,-45.806020032117964,38.948669967961536,-0.3430698587223002,0.0,13.522700431212165,0.5532026481284484,0.03524011046768603,"(4.878616681496771, 91.1006509524185, 0.766197568722528)"
20,-20.35200076671641,28.26896616518034,-0.11991212261324158,0.14948292361269822,21.59189965393994,0.27957067925846957,0.019283025143737458,"(5.725514814060181, 89.89152455583383, 1.5414144954416038)"
21,-18.283976024990764,26.55823521320311,-0.5216280795070194,0.0,20.53440584403568,0.21485127561195017,0.01839636912457695,"(5.725514814060181, 89.89152455583383, 1.5414144954416038)"
22,-17.5494370878839,17.273721041819584,-0.13445131674627575,0.12349912254856488,44.84495522988389,0.12946885866537178,0.011689322507809947,
23,-18.539230516928026,19.013274476149384,-0.1312083412380538,0.10754098309351257,40.378525355261914,0.20622524553644644,0.012684620340547402,
24,-20.87913810518741,22.563811169681284,-0.17656518503263996,0.13816621697593234,35.475268801257876,0.24223297696133522,0.014823483974818719,
25,-24.506395395013012,24.902211633567333,-0.20623403951733899,0.16266424943491842,31.931380159414687,0.26594784125799986,0.016650212255955463,
26,-9.066059296892025,7.978618750139762,-0.039347940468825726,0.0711867557506185,221.8996603840844,0.08805437158834352,0.004837210097292223,
27,-12.315564520817276,12.169088572266489,-0.13291311209711054,0.2587173634962081,117.18178972965127,0.10059937308516857,0.010973269818705597,
28,-15.064173315236607,15.531229613903543,0.0,0.26125020003648913,68.94091383260812,0.1738639378899521,0.01375581956855616,
29,-35.173488124786104,28.902195075486283,-0.3551875037419272,0.0,24.223373793230667,0.5862173301701404,0.02101253938161327,"(7.3298981572085795, 91.1635755822393, 0.6692248337754199)"
30,-17.145992753828732,10.093470230348226,-0.11024922839633078,0.2025618035026433,128.12665784847533,0.32085522625683,0.008961574026036048,
31,-11.557109006695086,10.41272094239444,0.0,0.08311279256956183,182.64677031101803,0.11052009949414436,0.006186995807173267,
32,-14.018936615213724,13.528108090214724,-0.011895244269322092,0.0,144.87346924941107,0.13716943646320007,0.006376174351472667,
33,-11.738484056519754,10.936106995220849,-0.04513806219668126,0.09683638897830527,183.06871762724137,0.12345753849511265,0.005835138865460434,
34,-15.724008628138707,14.96689044184013,-0.1610349614114881,0.4057459790985263,89.82453545945228,0.16642904715450327,0.013711469031510347,
35,-9.137587795727093,10.973010537701168,-0.08240015165892345,0.0,254.69769553750808,0.0534263439718024,0.004645751757483857,
